code,name,foreign5D,foreign20D,foreign60D,pension5D,pension20D,pension60D,trust5D,trust20D,trust60D,finance5D,finance20D,finance60D,supplyMemo
079650,서산,-35597,-109898,781346,0,0,0,0,0,0,6139,17564,46881,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
007660,이수페타시스,36125,-944979,-5451490,0,0,0,0,0,0,76725,1867888,7876363,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
267270,HD건설기계,85006,-97807,-1840070,0,0,0,0,0,0,37770,230351,1542915,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
466940,TIGER 은행고배당플러스TOP10,-27334,-9102,-147162,0,0,0,0,0,0,-113300,-87202,1062340,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
192820,코스맥스,20474,35284,-183931,0,0,0,0,0,0,84762,332600,756565,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
047050,포스코인터내셔널,-561184,-572346,-2107808,0,0,0,0,0,0,17674811,17055647,18126834,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
228340,동양파일,125283,-264816,55357,0,0,0,0,0,0,6975,6975,-54754,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
003160,디아이,-172985,173660,564625,0,0,0,0,0,0,797286,755746,-49014,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
091170,KODEX 은행,1025,-102646,2343,0,0,0,0,0,0,-182482,-70037,510943,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
484880,SOL 금융지주플러스고배당,6412,8603,21718,0,0,0,0,0,0,83594,-38067,373148,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
008930,한미사이언스,151220,-33088,-909225,0,0,0,0,0,0,378861,910682,2422390,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
161510,PLUS 고배당주,-50813,-59995,-89081,0,0,0,0,0,0,-81944,-554461,-1673061,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
030530,원익홀딩스,144440,-388852,-1694951,0,0,0,0,0,0,25074,-275222,2525126,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
316140,우리금융지주,12049279,12026138,14037125,0,0,0,0,0,0,1984415,3820556,7805942,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
001210,금호전기,-111695,469194,92989950,0,0,0,0,0,0,-28903,13342,47148,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
000430,TIGER 머니마켓액티브,17927,-77213,-437673,0,0,0,0,0,0,-4933,25841,-46603,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
021240,코웨이,-134956,-440545,145759,0,0,0,0,0,0,15149,19708,-146188,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
003530,한화투자증권,761794,-2053868,836351,0,0,0,0,0,0,-9722,817810,-470687,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
000080,SOL 화장품TOP3플러스,61198,230960,757877,0,0,0,0,0,0,-19804,-53112,76392,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
294570,쿠콘,-67876,-127445,-63797,0,0,0,0,0,0,54718,235558,247918,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
441270,파인엠텍,-746971,-1341348,-1915340,0,0,0,0,0,0,542511,294231,-546302,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
234690,녹십자웰빙,-404163,-431144,-519241,0,0,0,0,0,0,36,-592,-30604,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
465770,STX그린로지스,-20609,-248613,-194508,0,0,0,0,0,0,38,93,-73156,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
126640,화신정공,230867,550795,-77314,0,0,0,0,0,0,6396,18696,21802,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
064760,티씨케이,-4891,-216551,21748,0,0,0,0,0,0,16594,243568,-307,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
004020,현대제철,-547644,-1231861,-1259937,0,0,0,0,0,0,560645,1464685,485363,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
139130,iM금융지주,-21298,-748763,-667017,0,0,0,0,0,0,352211,1383973,2340570,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
066570,LG전자,-158187,642166,1170399,0,0,0,0,0,0,-1715,191717,1233083,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
305720,KODEX 2차전지산업,-25686,93868,233184,0,0,0,0,0,0,-363549,-271189,-1965085,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,-287342,-171255,-158413,0,0,0,0,0,0,1342210,-2333863,-4011698,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
086280,현대글로비스,-13350,123052,908304,0,0,0,0,0,0,59199,36331,23954,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
028670,팬오션,-556200,-1604028,5819274,0,0,0,0,0,0,1556254,4515208,7506836,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
180640,한진칼,-9263,-47333,-248900,0,0,0,0,0,0,32024,39042,303682,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
241710,코스메카코리아,135192,414587,372928,0,0,0,0,0,0,-124986,-241281,37528,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
004370,농심,7036,78294,128408,0,0,0,0,0,0,6157,117585,195586,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
357870,TIGER CD금리투자KIS(합성),-955,729,2055,0,0,0,0,0,0,-189362,-391752,147948,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
449180,KODEX 미국S&P500(H),720,-8818,127157,0,0,0,0,0,0,-53311,581555,-409721,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
041510,에스엠,-30267,58611,-91723,0,0,0,0,0,0,-70901,-212256,24930,외국인 순매수 우위 / 기관 혼조 (네이버 외국인·기관 집계 기반)
469830,SOL 초단기채권액티브,-2687,-3257,-5119,0,0,0,0,0,0,-94329,-183038,692711,외국인·기관 20일 동반 순매도 (네이버 외국인·기관 집계 기반)
455890,RISE 머니마켓액티브,-121,7254,7446,0,0,0,0,0,0,-42166,123122,1054068,외국인·기관 20일 동반 순매수 (네이버 외국인·기관 집계 기반)
449170,TIGER KOFR금리액티브(합성),-93,-151,802,0,0,0,0,0,0,-1256,40742,242085,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
024850,HLB이노베이션,-238162,-542183,-1036789,0,0,0,0,0,0,210774,361176,423245,기관 순매수 우위 / 외국인 혼조 (네이버 외국인·기관 집계 기반)
